workload,m,n,k,num_chiplets,link_bw,best_strategy,speedup,compute_cycles,distribute_cycles,reduce_cycles
bert_qkv_proj_seq2048,2048,768,768,2,128,split_m,1.683401393226039,49056,9226,0
bert_qkv_proj_seq2048,2048,768,768,2,256,split_m,1.8279241345903043,49056,4618,0
bert_qkv_proj_seq2048,2048,768,768,3,1,split_m,0.08065370008056164,36792,1179668,0
bert_qkv_proj_seq2048,2048,768,768,3,2,split_m,0.156569364032708,36792,589844,0
bert_qkv_proj_seq2048,2048,768,768,3,4,split_m,0.29576394834259806,36792,294932,0
bert_qkv_proj_seq2048,2048,768,768,3,8,split_m,0.5324418781340222,36792,147476,0
bert_qkv_proj_seq2048,2048,768,768,3,16,split_m,0.8875701103672878,36792,73748,0
bert_qkv_proj_seq2048,2048,768,768,3,32,split_m,1.331668385905858,36792,36884,0
bert_qkv_proj_seq2048,2048,768,768,3,64,split_m,1.775975671566143,36792,18452,0
bert_qkv_proj_seq2048,2048,768,768,3,128,split_m,2.1315720865560093,36792,9236,0
bert_qkv_proj_seq2048,2048,768,768,3,256,split_m,2.3687107677450507,36792,4628,0
bert_qkv_proj_seq2048,2048,768,768,4,1,split_m,0.0814744321154354,24528,1179678,0
bert_qkv_proj_seq2048,2048,768,768,4,2,split_m,0.15969217848179146,24528,589854,0
bert_qkv_proj_seq2048,2048,768,768,4,4,split_m,0.3071086486994084,24528,294942,0
bert_qkv_proj_seq2048,2048,768,768,4,8,split_m,0.5703721790086853,24528,147486,0
bert_qkv_proj_seq2048,2048,768,768,4,16,split_m,0.9982296563091386,24528,73758,0
bert_qkv_proj_seq2048,2048,768,768,4,32,split_m,1.5973429715737033,24528,36894,0
bert_qkv_proj_seq2048,2048,768,768,4,64,split_m,2.282205163991626,24528,18462,0
bert_qkv_proj_seq2048,2048,768,768,4,128,split_m,2.9049564753952746,24528,9246,0
bert_qkv_proj_seq2048,2048,768,768,4,256,split_m,3.3639168895289036,24528,4638,0
bert_qkv_proj_seq2048,2048,768,768,5,1,split_m,0.08147375553887343,24528,1179688,0
bert_qkv_proj_seq2048,2048,768,768,5,2,split_m,0.15968957929139702,24528,589864,0
